group,variable,code,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,growth,growth_17,growth_16,growth_15,growth_14,growth_13,growth_12,growth_11,median_age,edu1,edu2,edu3,edu4,pov,kpov,spov,eng,other_lang,lep,no_ins,pri_ins,cvap,cit_18,non_cit,native,fb,income,owner,renter
Korean alone,aapi_alone,16,1423784,1449876,1450401,1446592,1476577,1460483,1438915,1477282,0.03757452,0.02666384,-0.014767717,-0.010899533,0.020728028,-0.00262617,3.62E-04,0.018325813,39,0.206875458,0.152704108,0.207976289,0.432444145,0.1347758,0.1071658,0.2051641,0.2472654,0.7527346,0.5883718,0.1392951,0.693,0.5817042,0.1371953,0.7188996,0.2811768,0.7188232,82323.97,0.563,0.437
Laotian alone,aapi_alone,17,191200,186013,212340,215356,214807,213954,205131,212307,0.110392259,0.034982523,-0.041237836,-0.003971007,-0.002549267,0.014203636,0.141533119,-0.027128661,35,0.39801537,0.249559301,0.232500792,0.119924537,0.1353113,0.185239,0.1684982,0.2262967,0.7737033,0.628878,0.1223037,0.634,0.6302599,0.2068971,0.837157,0.42106,0.57894,72805.61,0.649,0.351
Malaysian alone,aapi_alone,18,16138,15048,17954,22970,20636,18828,20973,18053,0.118664023,-0.139226625,0.113926068,-0.087613879,-0.101610797,0.279380639,0.193115364,-0.067542446,31,0.184565818,0.125907743,0.258617163,0.430909277,0.2771615,0.1932331,0.3763251,0.2643452,0.7356548,0.727428,0.1318565,0.746,0.2992767,0.0803195,0.3795961,0.176311,0.823689,72484.51,0.461,0.539
Mongolian alone,aapi_alone,19,,11126,18812,12976,19545,16826,23198,21606,,-0.068626606,0.378699632,-0.139114863,0.506242293,-0.310227514,0.690814309,,30,0.297309268,0.095559739,0.210718636,0.396412357,0.2613211,0.3112968,0.1471004,0.134362,0.865638,0.5843736,0.2527093,0.524,0.2189596,0.2040974,0.4230571,0.2376922,0.7623078,53459.63,0.386,0.614
Nepalese alone,aapi_alone,20,51907,73358,86775,93142,126331,134469,155573,171709,2.308012407,0.103719797,0.156943236,0.064418076,0.356326899,0.073373668,0.182897571,0.413258327,29,0.429233447,0.137629887,0.13906157,0.294075096,0.2235126,0.276564,0.1540162,0.065756,0.934244,0.4699372,0.1708887,0.481,0.1957992,0.1300519,0.3258511,0.1365224,0.8634776,52581.83,0.294,0.706
Pakistani alone,aapi_alone,21,363699,351049,366407,442360,451489,482704,460515,499099,0.372285874,0.083784459,-0.04596813,0.069137897,0.020637038,0.207291345,0.043748878,-0.034781509,31,0.332515737,0.120168615,0.176414119,0.370901529,0.1646264,0.1974863,0.1268171,0.1494071,0.8505929,0.7233527,0.144306,0.578,0.5099583,0.2428971,0.7528554,0.3360275,0.6639725,78207.98,0.58,0.42
Sri Lankan alone,aapi_alone,22,38596,44742,45328,47059,40317,52932,52006,44460,0.151932843,-0.145098642,-0.017494143,0.312895305,-0.143266963,0.038188316,0.013097313,0.159239299,37,0.208817444,0.133785044,0.203315068,0.454082445,0.0826957,0.071318,0.1010785,0.2975902,0.7024098,0.7872395,0.0914739,0.764,0.4848317,0.1335073,0.618339,0.2167337,0.7832663,92614.47,0.598,0.402
Taiwanese alone,aapi_alone,23,196691,158271,153587,150727,153899,159951,165883,164795,-0.162162987,-0.00655884,0.037086358,0.039324492,0.02104467,-0.018621368,-0.029594809,-0.195331764,37,0.143774293,0.077304869,0.142936335,0.635984504,0.1347667,0.0830213,0.1357302,0.1600202,0.8399798,0.6035066,0.0617688,0.809,0.6642431,0.1197829,0.784026,0.2985358,0.7014642,108050.7,0.746,0.254
Thai alone,aapi_alone,24,166620,189889,182708,184368,194563,194766,202744,211384,0.268659225,0.042615318,0.040961975,0.001043364,0.055297015,0.009085535,-0.03781683,0.139653103,40,0.262793316,0.166419956,0.20408844,0.366698287,0.1582517,0.2522361,0.1037781,0.2531912,0.7468088,0.5768526,0.1410824,0.675,0.5740416,0.1007585,0.6748001,0.2385404,0.7614596,82323.97,0.649,0.351
Vietnamese alone,aapi_alone,25,1548449,1669447,1675246,1692760,1714143,1738848,1803575,1826998,0.179889037,0.012986984,0.03722407,0.01441245,0.012632033,0.010454584,0.003473605,0.078141418,38,0.384342879,0.178630079,0.217030504,0.219996538,0.1461203,0.1583618,0.1837365,0.1470458,0.8529542,0.4937636,0.1139326,0.621,0.6364758,0.1954103,0.8318861,0.3266039,0.6733961,74827.98,0.71,0.29
