geo_id,geo_display_label
0500000US48339,"Montgomery County, Texas"
0500000US48439,"Tarrant County, Texas"
0500000US48453,"Travis County, Texas"
0500000US48491,"Williamson County, Texas"
0500000US49035,"Salt Lake County, Utah"
0500000US49049,"Utah County, Utah"
0500000US51059,"Fairfax County, Virginia"
0500000US53033,"King County, Washington"
0500000US53053,"Pierce County, Washington"
0500000US53061,"Snohomish County, Washington"
0500000US53063,"Spokane County, Washington"
0500000US55025,"Dane County, Wisconsin"
0500000US55079,"Milwaukee County, Wisconsin"
5001500US0101,"Congressional District 1 (115th Congress), Alabama"
5001500US0102,"Congressional District 2 (115th Congress), Alabama"
5001500US0103,"Congressional District 3 (115th Congress), Alabama"
5001500US0104,"Congressional District 4 (115th Congress), Alabama"
5001500US0105,"Congressional District 5 (115th Congress), Alabama"
5001500US0106,"Congressional District 6 (115th Congress), Alabama"
5001500US0107,"Congressional District 7 (115th Congress), Alabama"
5001500US0200,"Congressional District (at Large) (115th Congress), Alaska"
5001500US0401,"Congressional District 1 (115th Congress), Arizona"
5001500US0402,"Congressional District 2 (115th Congress), Arizona"
5001500US0403,"Congressional District 3 (115th Congress), Arizona"
5001500US0404,"Congressional District 4 (115th Congress), Arizona"
5001500US0405,"Congressional District 5 (115th Congress), Arizona"
5001500US0406,"Congressional District 6 (115th Congress), Arizona"
5001500US0407,"Congressional District 7 (115th Congress), Arizona"
5001500US0408,"Congressional District 8 (115th Congress), Arizona"
5001500US0409,"Congressional District 9 (115th Congress), Arizona"
5001500US0501,"Congressional District 1 (115th Congress), Arkansas"
5001500US0502,"Congressional District 2 (115th Congress), Arkansas"
5001500US0503,"Congressional District 3 (115th Congress), Arkansas"
5001500US0504,"Congressional District 4 (115th Congress), Arkansas"
5001500US0601,"Congressional District 1 (115th Congress), California"
5001500US0602,"Congressional District 2 (115th Congress), California"
5001500US0603,"Congressional District 3 (115th Congress), California"
5001500US0604,"Congressional District 4 (115th Congress), California"
5001500US0605,"Congressional District 5 (115th Congress), California"
5001500US0606,"Congressional District 6 (115th Congress), California"
5001500US0607,"Congressional District 7 (115th Congress), California"
5001500US0608,"Congressional District 8 (115th Congress), California"
5001500US0609,"Congressional District 9 (115th Congress), California"
5001500US0610,"Congressional District 10 (115th Congress), California"
5001500US0611,"Congressional District 11 (115th Congress), California"
5001500US0612,"Congressional District 12 (115th Congress), California"
5001500US0613,"Congressional District 13 (115th Congress), California"
5001500US0614,"Congressional District 14 (115th Congress), California"
5001500US0615,"Congressional District 15 (115th Congress), California"
5001500US0616,"Congressional District 16 (115th Congress), California"
5001500US0617,"Congressional District 17 (115th Congress), California"
5001500US0618,"Congressional District 18 (115th Congress), California"
5001500US0619,"Congressional District 19 (115th Congress), California"
5001500US0620,"Congressional District 20 (115th Congress), California"
5001500US0621,"Congressional District 21 (115th Congress), California"
5001500US0622,"Congressional District 22 (115th Congress), California"
5001500US0623,"Congressional District 23 (115th Congress), California"
5001500US0624,"Congressional District 24 (115th Congress), California"
5001500US0625,"Congressional District 25 (115th Congress), California"
5001500US0626,"Congressional District 26 (115th Congress), California"
5001500US0627,"Congressional District 27 (115th Congress), California"
5001500US0628,"Congressional District 28 (115th Congress), California"
5001500US0629,"Congressional District 29 (115th Congress), California"
5001500US0630,"Congressional District 30 (115th Congress), California"
5001500US0631,"Congressional District 31 (115th Congress), California"
5001500US0632,"Congressional District 32 (115th Congress), California"
5001500US0633,"Congressional District 33 (115th Congress), California"
5001500US0634,"Congressional District 34 (115th Congress), California"
5001500US0635,"Congressional District 35 (115th Congress), California"
5001500US0636,"Congressional District 36 (115th Congress), California"
5001500US0637,"Congressional District 37 (115th Congress), California"
5001500US0638,"Congressional District 38 (115th Congress), California"
5001500US0639,"Congressional District 39 (115th Congress), California"
5001500US0640,"Congressional District 40 (115th Congress), California"
5001500US0641,"Congressional District 41 (115th Congress), California"
5001500US0642,"Congressional District 42 (115th Congress), California"
5001500US0643,"Congressional District 43 (115th Congress), California"
5001500US0644,"Congressional District 44 (115th Congress), California"
5001500US0645,"Congressional District 45 (115th Congress), California"
5001500US0646,"Congressional District 46 (115th Congress), California"
5001500US0647,"Congressional District 47 (115th Congress), California"
5001500US0648,"Congressional District 48 (115th Congress), California"
